,Book,BookChapter,Negative,Neutral,Positive
1,7,1,0.51782274,0.343103,0.1390742
2,7,2,0.37588885,0.35747552,0.26663557
3,7,3,0.43856218,0.31491756,0.24652022
4,7,4,0.10177517,0.6813922,0.21683264
5,7,5,0.22798765,0.4378565,0.33415565
6,7,6,0.74657387,0.22301394,0.030412162
7,7,7,0.6852702,0.20850272,0.10622695
8,7,8,0.067418195,0.5094805,0.42310134
9,7,9,0.208803,0.44887888,0.34231818
10,7,10,0.25769252,0.42110965,0.3211978
11,7,11,0.059791308,0.7138533,0.22635542
12,7,12,0.1367764,0.7047738,0.15844986
13,7,13,0.3157823,0.41872174,0.2654959
14,7,14,0.5836074,0.29098105,0.12541163
15,7,15,0.15483838,0.32719442,0.5179672
16,7,16,0.5518393,0.31112877,0.13703194
17,7,17,0.4096549,0.3389173,0.25142783
18,7,18,0.43373075,0.41298994,0.15327938
19,7,19,0.3964319,0.39954075,0.20402732
20,7,20,0.8768309,0.10111631,0.02205275
21,7,21,0.38344094,0.5231785,0.09338058
22,7,22,0.6732543,0.22667849,0.10006725
23,7,23,0.4403964,0.39843124,0.16117239
24,7,24,0.8317631,0.13634922,0.03188778
25,7,25,0.09971675,0.54577523,0.35450804
26,7,26,0.6317576,0.24900156,0.119240895
27,7,27,0.45212227,0.3506687,0.1972089
28,7,28,0.15046167,0.34303835,0.50649995
29,7,29,0.28247282,0.56837624,0.14915088
30,7,30,0.05261881,0.68215096,0.2652303
31,7,31,0.15877807,0.39453816,0.44668382
32,7,32,0.35574,0.5474304,0.09682956
33,7,33,0.5067718,0.3824562,0.11077191
34,7,34,0.23950182,0.5506341,0.20986402
35,7,35,0.34876826,0.30325478,0.34797695
36,7,36,0.048568193,0.37750158,0.5739302
37,7,37,0.34024665,0.44934413,0.21040925
38,7,38,0.52139616,0.39397,0.08463382
39,7,39,0.02492249,0.12976152,0.845316
40,7,40,0.12958494,0.6014341,0.26898086
41,7,41,0.46031994,0.4113128,0.12836713
42,7,42,0.057110585,0.44566858,0.49722084
43,7,43,0.8468547,0.107275106,0.045870174
44,7,44,0.31613582,0.51644486,0.16741922
45,7,45,0.55767304,0.3107914,0.1315356
46,7,46,0.2780285,0.40181017,0.32016137
47,7,47,0.15475217,0.4175617,0.42768613
48,7,48,0.40544796,0.45869693,0.13585514
49,7,49,0.27451384,0.5017321,0.22375412
50,7,50,0.44533747,0.42386606,0.1307964
51,7,51,0.13541797,0.39215478,0.4724272
52,7,52,0.4095045,0.30343533,0.28706017
53,7,53,0.13070627,0.4091473,0.46014658
54,7,54,0.1589423,0.41804683,0.42301095
55,7,55,0.39642963,0.39902884,0.2045415
56,7,56,0.2846362,0.5564342,0.15892968
57,7,57,0.06865604,0.38992962,0.5414144
58,7,58,0.48790467,0.36660165,0.14549367
59,7,59,0.035534605,0.2110596,0.7534057
60,7,60,0.22747596,0.48653758,0.28598648
61,7,61,0.14057148,0.4373786,0.42204997
62,7,62,0.38427356,0.42726862,0.18845792
63,7,63,0.28387755,0.387796,0.32832646
64,7,64,0.6555302,0.24812196,0.09634781
65,7,65,0.44408303,0.42364883,0.13226816
66,7,66,0.58707726,0.27423784,0.13868493
67,7,67,0.4610055,0.33391628,0.20507826
68,7,68,0.37313798,0.38927004,0.23759183
69,7,69,0.30427358,0.37432438,0.32140198
70,7,70,0.65160894,0.23618512,0.112206094
71,7,71,0.8807324,0.08598903,0.033278678
72,7,72,0.45094767,0.34777433,0.20127809
73,7,73,0.5005735,0.35697928,0.14244719
74,7,74,0.14112931,0.44381672,0.41505402
75,7,75,0.4127812,0.3930268,0.19419199
